Result 1 B4:
Index, Spine, Page
3, (13, 14), (2, 5, 11, 15)
4, (12, 16), (6, 7, 11, 15)
5, (12, 16), (6, 7, 11, 15)
6, (12, 16), (6, 7, 11, 15)
7, (13, 14), (2, 5, 11, 15)
8, (11, 16), (4, 12, 13, 15)
9, (11, 14), (4, 9, 13, 15)
10, (11, 13), (0, 14, 15, 16)
11, (11, 13), (0, 14, 15, 16)
12, (11, 12), (3, 9, 15, 16)
13, (11, 12), (3, 9, 15, 16)
14, (11, 13), (0, 14, 15, 16)
15, (11, 13), (0, 14, 15, 16)
16, (10, 16), (4, 6, 7, 15)
17, (10, 14), (4, 5, 9, 15)
18, (10, 16), (4, 6, 7, 15)
19, (13, 14), (2, 5, 11, 15)
20, (10, 16), (4, 6, 7, 15)
21, (10, 14), (4, 5, 9, 15)
22, (10, 16), (4, 6, 7, 15)
23, (13, 14), (2, 5, 11, 15)
24, (10, 16), (4, 6, 7, 15)
25, (10, 14), (4, 5, 9, 15)
26, (11, 13), (0, 14, 15, 16)
27, (11, 13), (0, 14, 15, 16)
28, (11, 12), (3, 9, 15, 16)
29, (11, 12), (3, 9, 15, 16)
30, (11, 13), (0, 14, 15, 16)
31, (11, 13), (0, 14, 15, 16)
33, (9, 14), (2, 10, 11, 15)
35, (13, 14), (2, 5, 11, 15)
36, (9, 12), (2, 7, 11, 15)
37, (9, 12), (2, 7, 11, 15)
38, (9, 12), (2, 7, 11, 15)
39, (13, 14), (2, 5, 11, 15)
40, (9, 11), (0, 12, 14, 15)
41, (9, 11), (0, 12, 14, 15)
42, (9, 11), (0, 12, 14, 15)
43, (9, 11), (0, 12, 14, 15)
44, (9, 11), (0, 12, 14, 15)
45, (9, 11), (0, 12, 14, 15)
46, (9, 11), (0, 12, 14, 15)
47, (9, 11), (0, 12, 14, 15)
48, (9, 10), (1, 7, 14, 15)
49, (9, 10), (1, 7, 14, 15)
50, (9, 10), (1, 7, 14, 15)
51, (9, 10), (1, 7, 14, 15)
52, (9, 10), (1, 7, 14, 15)
53, (9, 10), (1, 7, 14, 15)
54, (9, 10), (1, 7, 14, 15)
55, (9, 10), (1, 7, 14, 15)
56, (9, 11), (0, 12, 14, 15)
57, (9, 11), (0, 12, 14, 15)
58, (9, 11), (0, 12, 14, 15)
59, (9, 11), (0, 12, 14, 15)
60, (9, 11), (0, 12, 14, 15)
61, (9, 11), (0, 12, 14, 15)
62, (9, 11), (0, 12, 14, 15)
63, (9, 11), (0, 12, 14, 15)
65, (8, 14), (2, 4, 5, 15)
67, (8, 14), (2, 4, 5, 15)
68, (8, 12), (2, 3, 7, 15)
69, (8, 12), (2, 3, 7, 15)
70, (8, 12), (2, 3, 7, 15)
71, (8, 12), (2, 3, 7, 15)
72, (11, 16), (4, 12, 13, 15)
73, (8, 14), (2, 4, 5, 15)
74, (11, 13), (0, 14, 15, 16)
75, (11, 13), (0, 14, 15, 16)
76, (8, 12), (2, 3, 7, 15)
77, (8, 12), (2, 3, 7, 15)
78, (11, 13), (0, 14, 15, 16)
79, (11, 13), (0, 14, 15, 16)
80, (10, 16), (4, 6, 7, 15)
81, (8, 14), (2, 4, 5, 15)
82, (10, 16), (4, 6, 7, 15)
83, (8, 14), (2, 4, 5, 15)
84, (8, 12), (2, 3, 7, 15)
85, (8, 12), (2, 3, 7, 15)
86, (8, 12), (2, 3, 7, 15)
87, (8, 12), (2, 3, 7, 15)
88, (10, 16), (4, 6, 7, 15)
89, (8, 14), (2, 4, 5, 15)
90, (11, 13), (0, 14, 15, 16)
91, (11, 13), (0, 14, 15, 16)
92, (8, 12), (2, 3, 7, 15)
93, (8, 12), (2, 3, 7, 15)
94, (11, 13), (0, 14, 15, 16)
95, (11, 13), (0, 14, 15, 16)
97, (8, 14), (2, 4, 5, 15)
99, (8, 14), (2, 4, 5, 15)
100, (8, 12), (2, 3, 7, 15)
101, (8, 12), (2, 3, 7, 15)
102, (8, 12), (2, 3, 7, 15)
103, (8, 12), (2, 3, 7, 15)
104, (9, 11), (0, 12, 14, 15)
105, (9, 11), (0, 12, 14, 15)
106, (9, 11), (0, 12, 14, 15)
107, (9, 11), (0, 12, 14, 15)
108, (9, 11), (0, 12, 14, 15)
109, (9, 11), (0, 12, 14, 15)
110, (9, 11), (0, 12, 14, 15)
111, (9, 11), (0, 12, 14, 15)
112, (9, 10), (1, 7, 14, 15)
113, (9, 10), (1, 7, 14, 15)
114, (9, 10), (1, 7, 14, 15)
115, (9, 10), (1, 7, 14, 15)
116, (9, 10), (1, 7, 14, 15)
117, (9, 10), (1, 7, 14, 15)
118, (9, 10), (1, 7, 14, 15)
119, (9, 10), (1, 7, 14, 15)
120, (9, 11), (0, 12, 14, 15)
121, (9, 11), (0, 12, 14, 15)
122, (9, 11), (0, 12, 14, 15)
123, (9, 11), (0, 12, 14, 15)
124, (9, 11), (0, 12, 14, 15)
125, (9, 11), (0, 12, 14, 15)
126, (9, 11), (0, 12, 14, 15)
127, (9, 11), (0, 12, 14, 15)
131, (13, 14), (2, 5, 11, 15)
132, (12, 16), (6, 7, 11, 15)
133, (12, 16), (6, 7, 11, 15)
134, (12, 16), (6, 7, 11, 15)
135, (13, 14), (2, 5, 11, 15)
136, (11, 16), (4, 12, 13, 15)
137, (11, 14), (4, 9, 13, 15)
138, (11, 13), (0, 14, 15, 16)
139, (11, 13), (0, 14, 15, 16)
140, (11, 12), (3, 9, 15, 16)
141, (11, 12), (3, 9, 15, 16)
142, (11, 13), (0, 14, 15, 16)
143, (11, 13), (0, 14, 15, 16)
144, (10, 16), (4, 6, 7, 15)
145, (10, 14), (4, 5, 9, 15)
146, (10, 16), (4, 6, 7, 15)
147, (13, 14), (2, 5, 11, 15)
148, (10, 16), (4, 6, 7, 15)
149, (10, 14), (4, 5, 9, 15)
150, (10, 16), (4, 6, 7, 15)
151, (13, 14), (2, 5, 11, 15)
152, (10, 16), (4, 6, 7, 15)
153, (10, 14), (4, 5, 9, 15)
154, (11, 13), (0, 14, 15, 16)
155, (11, 13), (0, 14, 15, 16)
156, (11, 12), (3, 9, 15, 16)
157, (11, 12), (3, 9, 15, 16)
158, (11, 13), (0, 14, 15, 16)
159, (11, 13), (0, 14, 15, 16)
160, (7, 9), (0, 10, 12, 15)
161, (7, 9), (0, 10, 12, 15)
162, (7, 9), (0, 10, 12, 15)
163, (7, 9), (0, 10, 12, 15)
164, (7, 9), (0, 10, 12, 15)
165, (7, 9), (0, 10, 12, 15)
166, (7, 9), (0, 10, 12, 15)
167, (7, 9), (0, 10, 12, 15)
168, (7, 9), (0, 10, 12, 15)
169, (7, 9), (0, 10, 12, 15)
170, (7, 9), (0, 10, 12, 15)
171, (7, 9), (0, 10, 12, 15)
172, (7, 9), (0, 10, 12, 15)
173, (7, 9), (0, 10, 12, 15)
174, (7, 9), (0, 10, 12, 15)
175, (7, 9), (0, 10, 12, 15)
176, (7, 9), (0, 10, 12, 15)
177, (7, 9), (0, 10, 12, 15)
178, (7, 9), (0, 10, 12, 15)
179, (7, 9), (0, 10, 12, 15)
180, (7, 9), (0, 10, 12, 15)
181, (7, 9), (0, 10, 12, 15)
182, (7, 9), (0, 10, 12, 15)
183, (7, 9), (0, 10, 12, 15)
184, (7, 9), (0, 10, 12, 15)
185, (7, 9), (0, 10, 12, 15)
186, (7, 9), (0, 10, 12, 15)
187, (7, 9), (0, 10, 12, 15)
188, (7, 9), (0, 10, 12, 15)
189, (7, 9), (0, 10, 12, 15)
190, (7, 9), (0, 10, 12, 15)
191, (7, 9), (0, 10, 12, 15)
193, (8, 14), (2, 4, 5, 15)
195, (8, 14), (2, 4, 5, 15)
196, (8, 12), (2, 3, 7, 15)
197, (8, 12), (2, 3, 7, 15)
198, (8, 12), (2, 3, 7, 15)
199, (8, 12), (2, 3, 7, 15)
200, (11, 16), (4, 12, 13, 15)
201, (8, 14), (2, 4, 5, 15)
202, (11, 13), (0, 14, 15, 16)
203, (11, 13), (0, 14, 15, 16)
204, (8, 12), (2, 3, 7, 15)
205, (8, 12), (2, 3, 7, 15)
206, (11, 13), (0, 14, 15, 16)
207, (11, 13), (0, 14, 15, 16)
